Name,Old Phone,New Phone,Old Email,New Email,Branch Update,City Correction,Comment
Sophie Bramwell,+44 7153 992 714,7153992714,sophie.bramwell@examplemail.co,sophie.bramwell@examplemail.co.uk,South Branch,Mcr,admin amended
Phoebe Winslow,+44 7879 591 310,7879591310,phoebe.winslow@@examplemail.co.uk,phoebe.winslow@examplemail.co.uk,North Branch,leeds ,branch updated
Arthur Harrington,,7362950628, arthur.harrington@examplemail.co.uk ,arthur.harrington@examplemail.co.uk,CENTRAL BRANCH,Leedz,email corrected
Edward Prescott,07266 211 829,7266211829,EDWARD.PRESCOTT@EXAMPLEMAIL.CO.UK,edward.prescott@examplemail.co.uk,CENTRAL BRANCH,bristol ,confirmed by client
Clara Bennett,00000000000,0,CLARA.BENNETT@EXAMPLEMAIL.CO.UK,clara.bennett@examplemail.co.uk,CENTRAL BRANCH,birminham,email corrected
Poppy Sinclair,,7508157429,poppy.sinclair@examplemail.co,poppy.sinclair@examplemail.co.uk,NORTH HQ,birminham,email corrected
Oscar Winslow,00000000000,0,OSCAR.WINSLOW@EXAMPLEMAIL.CO.UK,oscar.winslow@examplemail.co.uk,SOUTH,MANCHESTER,confirmed by client
Leo Hollis,00000000000,0,leo.hollis@@examplemail.co.uk,leo.hollis@examplemail.co.uk,CENTRAL BRANCH,LEEDS,branch updated
Imogen Kensington,,7624232414,IMOGEN.KENSINGTON@EXAMPLEMAIL.CO.UK,imogen.kensington@examplemail.co.uk,Central,MANCHESTER,branch updated
Eleanor Ellison,00000000000,0,eleanor.ellison@examplemail.co,eleanor.ellison@examplemail.co.uk,South,Bristol City,branch updated
Imogen Bennett,00447768548027,7768548027,imogen.bennett@examplemail.co,imogen.bennett@examplemail.co.uk,NORTH HQ,leeds ,branch updated
Poppy Chadwick,00447599277266,7599277266,poppy.chadwick@examplemail.co,poppy.chadwick@examplemail.co.uk,south,leeds ,admin amended
Arthur Mercer,07463016614,7463016614,arthur.mercer@@examplemail.co.uk,arthur.mercer@examplemail.co.uk,north,Birmingham,branch updated
Daniel Mercer,07107721109,7107721109,daniel.mercer@examplemail.co.uk,daniel.mercer@examplemail.co.uk,central office,manchester ,admin amended
Luke Winslow,,0,luke.winslow@examplemail.co.uk,luke.winslow@examplemail.co.uk,Central Hub,BIRMINGHAM,confirmed by client
Arthur Mercer,,7463016614,arthur.mercer@@examplemail.co.uk,arthur.mercer@examplemail.co.uk,North Branch,Bham,admin amended
Theodore Marlowe,00447599154414,7599154414,theodore.marlowe@@examplemail.co.uk,theodore.marlowe@examplemail.co.uk,Central,BRISTOL,admin amended
Martha Pritchard,00000000000,0, martha.pritchard@examplemail.co.uk ,martha.pritchard@examplemail.co.uk,NORTH HQ,MANCHESTER,branch updated
Luke Marlowe,07994 027 897,7994027897,LUKE.MARLOWE@EXAMPLEMAIL.CO.UK,luke.marlowe@examplemail.co.uk,South Branch,BIRMINGHAM,admin amended
Eliza Ainsworth,07932894,7885675101,eliza.ainsworth@examplemail.co,eliza.ainsworth@examplemail.co.uk,central office,Mcr,email corrected
