CUSTOMER_NAME,PHONE,EMAIL,INVOICE,TRANS_DATE,ITEM_DESC,CAT,LOCATION_BRANCH,LOCATION_CITY,QUANTITY,VALUE
HENRY TEMPLETON,00000000000, HENRY.TEMPLETON@EXAMPLEMAIL.CO.UK ,1212,13 February 2025,PREMIUM CONSULTATION,PREMIUM,NORTH BRANCH,BIRMINHAM,2,0
MATILDA AINSWORTH,07126226563, MATILDA.AINSWORTH@EXAMPLEMAIL.CO.UK ,INV1213,23 Jan 2025,CUSTOMER CARE REVIEW,BASIC,NORTH,MANCHESTER,3,825
ISLA ASHCROFT,00000000000,unknown,INV1214,23-01-2025,MAINTENANCE VISIT,STD,SOUTH OFFICE,LEEDS,2,500
SAMUEL BLACKWELL,00000000000,samuel.blackwell@examplemail.co,INV1215,22-03-2025,PRIORITY SERVICE CALL,PREMIUM SERVICE,CENTRAL HUB,BRISTOL,1,-95
ELEANOR REDFORD,07637 500 247,unknown,INV1216,21/03/25,CUSTOMER CARE REVIEW,STD,NORTH BRANCH,LEEDS,4,380
ALFIE MARLOWE,+44 7872 830 248,alfie.marlowe@@examplemail.co.uk,1217,28 Feb 2025,STORE REFRESH,P,SOUTH,BIRMINGHAM,2,500
EDWARD PRESCOTT,00000000000,nil,1218,13-02-2025,INVENTORY AUDIT,STD,CENTRAL BRANCH,BRISTOL CITY,4,600
ROSIE COLLINS,00000000000,ROSIE.COLLINS@EXAMPLEMAIL.CO,1219,06-03-2025,INVENTORY AUDIT,STD,NORTH,LEEDS,3,0
EDWARD MARLOWE,07509760,unknown,1220,11-02-2025,CUSTOMER CARE REVIEW,BASIC,NORTH,BRISTOL,2,550
ISLA TEMPLETON,00000000000,isla.templeton@examplemail.co,1221,17/02/25,INVENTORY AUDIT,STD,CENTRAL,MANCHESTER ,3,0
THOMAS SUTTON,N/A,THOMAS.SUTTON@EXAMPLEMAIL.CO,INV1222,21 February 2025,OPERATIONAL CHECK,BASIC,CENTRAL OFFICE,BHAM,3,675
SAMUEL WHITMORE,00000000000,SAMUEL.WHITMORE@EXAMPLEMAIL.CO.UK,INV1223,12/03/25,ON SITE SETUP,BASIC,CENTRAL,MCR,4,0
ALFIE MARLOWE,+44 7872 830 248,unknown,INV1224,24/03/25,OPERATIONAL CHECK,BASIC,SOUTH,BHAM,4,800
EVIE CHADWICK,00447462388455,EVIE.CHADWICK@EXAMPLEMAIL.CO.UK,INV1225,2025-01-24,CUSTOMER CARE REVIEW,STANDARD,SOUTH OFFICE,LEEDZ,2,190
ZARA SUTTON,00000000000,nil,1226,07 March 2025,ON SITE SETUP,STD,CENTRAL BRANCH,BRISTOL ,4,0
FREYA WHITMORE,00000000000,FREYA.WHITMORE@EXAMPLEMAIL.CO,1227,09 Feb 2025,MAINTENANCE VISIT,STD,CENTRAL HUB,BRISTOL ,4,1000
HENRY TEMPLETON,00000000000,nil,INV1228,27/03/25,OPERATIONAL CHECK,STD,NORTH,BIRMINGHAM,4,380
ISLA ASHCROFT,00447682624278,unknown,1229,27/03/25,PRIORITY SERVICE CALL,PREM,SOUTH,LEEDS,2,450
BEATRICE HARRINGTON,00000000000,BEATRICE.HARRINGTON@EXAMPLEMAIL.CO.UK,INV1230,2025-01-15,INSTALLATION SUPPORT,STD,SOUTH OFFICE,LEEDS,3,0
ISLA TEMPLETON,N/A,isla.templeton@examplemail.co,INV1231,22/01/25,DEEP CLEANING PACKAGE,PREM,CENTRAL HUB,MANCHESTER,2,550
IMOGEN KENSINGTON,N/A,nil,1232,2025-03-10,STORE REFRESH,PREMIUM,CENTRAL,MANCHESTER ,3,285
HARRY CHADWICK,N/A,unknown,1233,16 Feb 2025,PREMIUM CONSULTATION,PREMIUM,NORTH,BRISTOL,1,150
LUKE HOLLIS,00000000000,unknown,INV1234,2025-02-22,MAINTENANCE VISIT,STD,CENTRAL,MANCHESTER,4,0
ALFIE CRAWFORD,N/A,nil,INV1235,07 March 2025,PREMIUM CONSULTATION,PREMIUM SERVICE,CENTRAL,BRISTOL,1,0
ISLA MARLOWE,00000000000, ISLA.MARLOWE@EXAMPLEMAIL.CO.UK ,INV1236,12 January 2025,PREMIUM CONSULTATION,PREMIUM,CENTRAL,MCR,2,350
ALICE WAVERLEY,00000000000,ALICE.WAVERLEY@EXAMPLEMAIL.CO.UK,1237,21 Mar 2025,INVENTORY AUDIT,STD,SOUTH,LEEDS,4,0
ELEANOR HUXLEY,07702269164,unknown,1238,31-03-2025,STORE REFRESH,PREM,SOUTH,BRISTOL CITY,4,0
CLARA WHITMORE,+44 7692 749 116,clara.whitmore@@examplemail.co.uk,1239,04 February 2025,INSTALLATION SUPPORT,BASIC,SOUTH OFFICE,BIRMINGHAM,4,380
AMELIA DARLINGTON,07812308209,nil,INV1240,14 Feb 2025,ON SITE SETUP,STD,CENTRAL OFFICE,LEEDS,2,450
FLORENCE PRESCOTT,00447630833445,unknown,INV1241,2025-03-09,ON SITE SETUP,STANDARD,CENTRAL HUB,BRISTOL CITY,4,900
ARTHUR HARRINGTON,07862 123 506,ARTHUR.HARRINGTON@EXAMPLEMAIL.CO.UK,INV1242,29 March 2025,STORE REFRESH,PREM,CENTRAL OFFICE,MCR,3,675
FLORENCE SINCLAIR,N/A, FLORENCE.SINCLAIR@EXAMPLEMAIL.CO.UK ,1243,01 February 2025,INSTALLATION SUPPORT,BASIC,NORTH BRANCH,BRISTOL,2,0
ARTHUR MERCER,00000000000,ARTHUR.MERCER@@EXAMPLEMAIL.CO.UK,1244,18 Feb 2025,ON SITE SETUP,BASIC,NORTH HQ,BHAM,3,450
SEBASTIAN SINCLAIR,00000000000,unknown,1245,04/03/25,STORE REFRESH,PREMIUM SERVICE,NORTH HQ,BIRMINGHAM,4,0
ARTHUR STERLING,00000000000,arthur.sterling@examplemail.co.uk,1246,01-04-2025,OPERATIONAL CHECK,BASIC,CENTRAL OFFICE,MANCHESTER,2,550
AMELIA FAIRCHILD,00000000000,AMELIA.FAIRCHILD@EXAMPLEMAIL.CO.UK,1247,02 Feb 2025,INVENTORY AUDIT,STD,CENTRAL OFFICE,MANCHESTER,1,225
OLIVER SINCLAIR,N/A,OLIVER.SINCLAIR@EXAMPLEMAIL.CO.UK,INV1248,27-01-2025,OPERATIONAL CHECK,STANDARD,NORTH BRANCH,MANCHESTER,4,1000
LOUIS PRITCHARD,00000000000,unknown,INV1249,04-03-2025,OPERATIONAL CHECK,STANDARD,CENTRAL,BRISTOL CITY,2,0
IVY BENNETT,00000000000,nil,INV1250,07 February 2025,DEEP CLEANING PACKAGE,PREM,NORTH,BRISTOL,3,0
SAMUEL SINCLAIR,00000000000,SAMUEL.SINCLAIR@@EXAMPLEMAIL.CO.UK,INV1251,31/01/25,MAINTENANCE VISIT,STANDARD,CENTRAL HUB,MANCHESTER ,1,120
HUGO ELLISON,00000000000,HUGO.ELLISON@EXAMPLEMAIL.CO.UK,1252,25 February 2025,PRIORITY SERVICE CALL,PREMIUM,SOUTH,BHAM,4,0
FREYA PRESCOTT,N/A,unknown,INV1253,03-04-2025,PREMIUM CONSULTATION,PREM,SOUTH OFFICE,BIRMINHAM,1,275
MARTHA PRITCHARD,N/A,nil,INV1254,21/01/25,CUSTOMER CARE REVIEW,STANDARD,NORTH BRANCH,MANCHESTER ,2,0
IMOGEN BENNETT,N/A,imogen.bennett@examplemail.co,INV1255,29 March 2025,CUSTOMER CARE REVIEW,STD,NORTH BRANCH,LEEDS,2,350
MARTHA STERLING,+44 7496 776 692, MARTHA.STERLING@EXAMPLEMAIL.CO.UK ,1256,23/03/25,DEEP CLEANING PACKAGE,PREMIUM SERVICE,NORTH,MANCHESTER ,2,0
ALFIE MARLOWE,+44 7872 830 248,ALFIE.MARLOWE@@EXAMPLEMAIL.CO.UK,INV1257,2025-03-24,MAINTENANCE VISIT,BASIC,SOUTH OFFICE,BHAM,2,500
JACK SUTTON,N/A, JACK.SUTTON@EXAMPLEMAIL.CO.UK ,INV1258,2025-04-03,MAINTENANCE VISIT,BASIC,SOUTH,BRISTOL CITY,2,300
ZARA MARLOWE,00000000000,zara.marlowe@@examplemail.co.uk,1259,01/03/25,ON SITE SETUP,STANDARD,NORTH,BRISTOL,3,0
EDWARD HOLLIS,00000000000,edward.hollis@examplemail.co,INV1260,19-01-2025,OPERATIONAL CHECK,BASIC,NORTH BRANCH,BRISTOL,3,675
THEODORE STERLING,N/A,unknown,1261,20-02-2025,OPERATIONAL CHECK,STD,CENTRAL BRANCH,LEEDS,1,0
EVIE HUXLEY,N/A,unknown,INV1262,2025-01-18,CUSTOMER CARE REVIEW,STD,SOUTH OFFICE,BRISTOL ,2,500
AMELIA DARLINGTON,07812308209,unknown,INV1263,13 February 2025,OPERATIONAL CHECK,STD,CENTRAL HUB,LEEDS,3,450
IVY BENNETT,00000000000,nil,1264,22 Feb 2025,OPERATIONAL CHECK,STD,NORTH,BRISTOL,1,275
THEODORE AINSWORTH,00000000000,THEODORE.AINSWORTH@EXAMPLEMAIL.CO.UK,INV1265,30/01/25,PREMIUM CONSULTATION,PREMIUM,NORTH BRANCH,MANCHESTER,1,250
FREYA SINCLAIR,N/A,unknown,1266,03 April 2025,INVENTORY AUDIT,STD,CENTRAL BRANCH,MANCHESTER,3,360
CLARA BENNETT,00000000000,nil,INV1267,11-02-2025,CUSTOMER CARE REVIEW,STD,CENTRAL,BIRMINGHAM,2,190
IMOGEN WINSLOW,00000000000,IMOGEN.WINSLOW@@EXAMPLEMAIL.CO.UK,INV1268,08/02/25,MAINTENANCE VISIT,BASIC,NORTH HQ,BRISTOL ,1,95
AMELIA DARLINGTON,N/A, amelia.darlington@examplemail.co.uk ,INV1269,2025-01-19,OPERATIONAL CHECK,STD,CENTRAL BRANCH,LEEDS ,4,380
OLIVER SINCLAIR,07642621,OLIVER.SINCLAIR@EXAMPLEMAIL.CO.UK,INV1270,25/01/25,CUSTOMER CARE REVIEW,BASIC,NORTH,MANCHESTER,4,0
THEODORE BENNETT,00000000000,nil,INV1271,21 Jan 2025,STORE REFRESH,PREMIUM SERVICE,NORTH,LEEDZ,3,675
DANIEL COLLINS,N/A,nil,INV1272,27 Feb 2025,INVENTORY AUDIT,STD,NORTH BRANCH,BRISTOL,1,0
OSCAR REDFORD,00000000000,unknown,INV1273,07-03-2025,INVENTORY AUDIT,STD,CENTRAL OFFICE,MANCHESTER,2,500
PHOEBE HUXLEY,00447396618390,PHOEBE.HUXLEY@EXAMPLEMAIL.CO.UK,1274,2025-02-06,OPERATIONAL CHECK,STD,NORTH BRANCH,BIRMINGHAM,2,240
IMOGEN BENNETT,00447768548027,nil,INV1275,23/02/25,STORE REFRESH,PREMIUM,NORTH BRANCH,LEEDS,2,350
HARRY BLACKWELL,07216396,harry.blackwell@examplemail.co,INV1276,2025-02-10,PREMIUM CONSULTATION,PREM,SOUTH OFFICE,BIRMINGHAM,1,200
MARTHA STERLING,00000000000,nil,INV1277,28 Mar 2025,PRIORITY SERVICE CALL,PREMIUM SERVICE,NORTH HQ,MANCHESTER,4,0
THOMAS SINCLAIR,07463527,unknown,INV1278,09 Feb 2025,DEEP CLEANING PACKAGE,PREMIUM SERVICE,SOUTH,LEEDS,1,175
MAX WHITMORE,00447604011128,max.whitmore@examplemail.co,INV1279,2025-01-19,INSTALLATION SUPPORT,STANDARD,NORTH,LEEDS,3,675
THEODORE DARLINGTON,07678 998 028,theodore.darlington@@examplemail.co.uk,INV1280,23-03-2025,STORE REFRESH,PREMIUM SERVICE,SOUTH,MANCHESTER,2,0
HENRY TEMPLETON,N/A, HENRY.TEMPLETON@EXAMPLEMAIL.CO.UK ,1281,26 Mar 2025,DEEP CLEANING PACKAGE,PREM,NORTH HQ,BIRMINGHAM,3,525
LEO FLETCHER,N/A,unknown,1282,01 Mar 2025,DEEP CLEANING PACKAGE,PREM,SOUTH,LEEDS,4,1000
POPPY TEMPLETON,N/A,nil,1283,20 Jan 2025,STORE REFRESH,P,NORTH HQ,LEEDS,3,0
JACK FAIRCHILD,00000000000,unknown,INV1284,2025-03-16,PREMIUM CONSULTATION,P,SOUTH,MANCHESTER ,3,750
IMOGEN BENNETT,00000000000,nil,1285,18 February 2025,PREMIUM CONSULTATION,P,NORTH,LEEDS,1,0
ELEANOR REDFORD,00000000000,unknown,INV1286,24 Jan 2025,STORE REFRESH,PREM,NORTH,LEEDS ,3,0
ARTHUR MERCER,00000000000,unknown,INV1287,27 January 2025,DEEP CLEANING PACKAGE,PREMIUM,NORTH BRANCH,BIRMINGHAM,4,900
IVY MARLOWE,07918 982 730, IVY.MARLOWE@EXAMPLEMAIL.CO.UK ,INV1288,12 Feb 2025,PRIORITY SERVICE CALL,P,NORTH BRANCH,BHAM,2,400
ARTHUR MERCER,00000000000,arthur.mercer@@examplemail.co.uk,1289,21 Feb 2025,DEEP CLEANING PACKAGE,PREMIUM,NORTH,BHAM,1,0
ELEANOR ELLISON,00000000000,unknown,INV1290,2025-03-14,PREMIUM CONSULTATION,PREM,SOUTH OFFICE,BRISTOL,1,275
THEODORE FLETCHER,00000000000,theodore.fletcher@examplemail.co.uk,1291,26/02/25,INVENTORY AUDIT,BASIC,CENTRAL HUB,BRISTOL,1,120
THEODORE BENNETT,07927 982 963,unknown,INV1292,10 January 2025,PRIORITY SERVICE CALL,PREMIUM,NORTH BRANCH,LEEDS,2,-190
LEO HOLLIS,00000000000,nil,1293,28/02/25,CUSTOMER CARE REVIEW,STANDARD,CENTRAL OFFICE,LEEDS ,1,250
PHOEBE HOLLIS,00000000000,unknown,1294,10 Feb 2025,CUSTOMER CARE REVIEW,STD,SOUTH,BHAM,3,360
ZARA CRAWFORD,00000000000,unknown,INV1295,25/01/25,CUSTOMER CARE REVIEW,STD,SOUTH OFFICE,LEEDS,2,350
ALICE WAVERLEY,00000000000,unknown,1296,2025-03-02,DEEP CLEANING PACKAGE,PREMIUM SERVICE,SOUTH,LEEDS ,3,-600
FLORENCE PRESCOTT,00000000000, florence.prescott@examplemail.co.uk ,INV1297,21-03-2025,PREMIUM CONSULTATION,PREMIUM SERVICE,CENTRAL OFFICE,BRISTOL ,3,525
ALFIE MARLOWE,+44 7872 830 248,alfie.marlowe@@examplemail.co.uk,1298,17-02-2025,INSTALLATION SUPPORT,STANDARD,SOUTH,BHAM,4,0
GEORGE CHADWICK,N/A,george.chadwick@examplemail.co,INV1299,04/02/25,OPERATIONAL CHECK,STANDARD,SOUTH,MANCHESTER,2,190
SOPHIE HOLLIS,N/A,SOPHIE.HOLLIS@EXAMPLEMAIL.CO,INV1300,08 Feb 2025,DEEP CLEANING PACKAGE,PREMIUM SERVICE,CENTRAL OFFICE,BIRMINGHAM,1,225
ARTHUR HARRINGTON,N/A,nil,INV1301,18 Feb 2025,STORE REFRESH,PREM,CENTRAL,LEEDZ,2,500
MATILDA CRAWFORD,N/A,MATILDA.CRAWFORD@@EXAMPLEMAIL.CO.UK,INV1302,28/01/25,DEEP CLEANING PACKAGE,PREMIUM,NORTH,LEEDZ,1,175
IVY MARLOWE,00000000000, ivy.marlowe@examplemail.co.uk ,INV1303,2025-02-26,STORE REFRESH,PREMIUM,NORTH BRANCH,BHAM,1,150
MAX BENNETT,00447207765664,nil,1304,2025-01-19,STORE REFRESH,PREMIUM SERVICE,NORTH BRANCH,LEEDS,4,0
ISLA STERLING,00000000000,nil,INV1305,12 February 2025,MAINTENANCE VISIT,BASIC,CENTRAL HUB,MANCHESTER ,3,0
EVIE FLETCHER,N/A,unknown,INV1306,08-02-2025,MAINTENANCE VISIT,STD,SOUTH OFFICE,MANCHESTER,2,0
THEODORE REDFORD,00000000000,THEODORE.REDFORD@EXAMPLEMAIL.CO.UK,INV1307,31/01/25,PREMIUM CONSULTATION,PREM,NORTH BRANCH,BIRMINHAM,3,750
ARTHUR MERCER,N/A,unknown,1308,24 February 2025,PRIORITY SERVICE CALL,PREMIUM SERVICE,NORTH BRANCH,BHAM,3,825
MARTHA PRITCHARD,00000000000,nil,INV1309,21 January 2025,PREMIUM CONSULTATION,P,NORTH HQ,MANCHESTER,1,175
FLORENCE PRESCOTT,N/A, FLORENCE.PRESCOTT@EXAMPLEMAIL.CO.UK ,INV1310,21-01-2025,INVENTORY AUDIT,STD,CENTRAL HUB,BRISTOL CITY,4,380
MATILDA REDFORD,+44 7593 460 064,matilda.redford@examplemail.co.uk,INV1311,12 Feb 2025,MAINTENANCE VISIT,STD,CENTRAL HUB,LEEDZ,4,-1100
CHARLOTTE STERLING,N/A,unknown,1312,10 February 2025,PRIORITY SERVICE CALL,PREMIUM SERVICE,SOUTH,LEEDZ,1,0
DANIEL MERCER,00000000000,daniel.mercer@examplemail.co.uk,1313,17-01-2025,DEEP CLEANING PACKAGE,P,CENTRAL HUB,MANCHESTER,2,500
IMOGEN KENSINGTON,N/A,nil,INV1314,25/03/25,PREMIUM CONSULTATION,PREM,CENTRAL BRANCH,MANCHESTER ,1,95
ROSIE COLLINS,00000000000,ROSIE.COLLINS@EXAMPLEMAIL.CO,INV1315,02 Apr 2025,ON SITE SETUP,STD,NORTH BRANCH,LEEDS,1,225
DANIEL MERCER,00000000000,DANIEL.MERCER@EXAMPLEMAIL.CO.UK,INV1316,10 Mar 2025,DEEP CLEANING PACKAGE,PREMIUM,CENTRAL,MANCHESTER ,4,1000
MAX WHITMORE,N/A,MAX.WHITMORE@EXAMPLEMAIL.CO,INV1317,27/02/25,DEEP CLEANING PACKAGE,PREMIUM SERVICE,NORTH BRANCH,LEEDZ,3,525
ARTHUR STERLING,07721609,nil,1318,14 Feb 2025,MAINTENANCE VISIT,BASIC,CENTRAL HUB,MANCHESTER ,1,175
THOMAS SINCLAIR,N/A,THOMAS.SINCLAIR@EXAMPLEMAIL.CO,1319,14 Mar 2025,MAINTENANCE VISIT,BASIC,SOUTH,LEEDS,1,120
