source_row_number,record_id,customer_id,source_file,source_type,customer_name_raw,customer_name_clean,phone_raw,phone_clean,email_raw,email_clean,invoice_no_raw,invoice_no_clean,transaction_date_raw,transaction_date_clean,service_or_product_raw,service_or_product_clean,category_raw,category_clean,branch_raw,branch_clean,city_raw,city_clean,country,amount_raw,amount_clean,quantity,duplicate_flag,missing_field_flag,contact_valid_flag,date_valid_flag,amount_valid_flag,validation_status,review_notes
14,REC-00014,CUST-1013,branch_north.xlsx,branch,Eliza Ellison,Eliza Ellison,+44 7220 117 054,07220117054,ELIZA.ELLISON@EXAMPLEMAIL.CO.UK,eliza.ellison@examplemail.co.uk,inv-1013,INV-1013,20 Mar 2025,2025-03-20,customer care review,Customer Care Review,STD,Standard,south,South Branch,Birmingham,Birmingham,United Kingdom,800,800.0,40.0,,,,,,,
15,REC-00015,CUST-1014,branch_north.xlsx,branch,NATHAN SINCLAIR,Nathan Sinclair,07379 995 032,07379995032,NATHAN.SINCLAIR@EXAMPLEMAIL.CO.UK,nathan.sinclair@examplemail.co.uk,INV-1014,INV-1014,09-03-2025,2025-03-09,premium consultation,Premium Consultation,P,Premium,South,South Branch,LEEDS,Leeds,United Kingdom,95,95.0,10.0,,,,,,,
16,REC-00016,CUST-1015,branch_north.xlsx,branch,Matilda Fletcher,Matilda Fletcher,07153921,,matilda.fletcher@examplemail.co.uk,matilda.fletcher@examplemail.co.uk,inv 1015,INV-1015,26/01/25,2025-01-26,On Site Setup,On Site Setup,STD,Standard,CENTRAL BRANCH,Central Branch,Bristol City,Bristol,United Kingdom,175,175.0,10.0,,,,,,,
17,REC-00017,CUST-1016,branch_north.xlsx,branch,Imogen Bennett,Imogen Bennett,00447768548027,07768548027,imogen.bennett@examplemail.co,imogen.bennett@examplemail.co.uk,inv 1016,INV-1016,08/02/25,2025-02-08,On Site Setup,On Site Setup,Basic,Standard,NORTH HQ,North Branch,leeds,Leeds,United Kingdom,200,200.0,10.0,,,,,,,
18,REC-00018,CUST-1017,branch_north.xlsx,branch,George Langley,George Langley,07959629660,07959629660,george.langley@examplemail.co.uk,george.langley@examplemail.co.uk,INV1017,INV-1017,2025-03-20,2025-03-20,Inventory Audit,Inventory Audit,Std,Standard,Central Hub,Central Branch,leeds,Leeds,United Kingdom,£95,95.0,10.0,,,,,,,
19,REC-00019,CUST-1018,branch_north.xlsx,branch,THEODORE DARLINGTON,Theodore Darlington,07678 998 028,07678998028,theodore.darlington@@examplemail.co.uk,theodore.darlington@examplemail.co.uk,inv-1018,INV-1018,2025-02-24,2025-02-24,Deep Cleaning Package,Deep Cleaning,prem,Premium,South,South Branch,MANCHESTER,Manchester,United Kingdom,150.00,150.0,10.0,,,,,,,
20,REC-00020,CUST-1019,branch_north.xlsx,branch,martha pritchard,Martha Pritchard,00000000000,,martha.pritchard@examplemail.co.uk,martha.pritchard@examplemail.co.uk,INV 1019,INV-1019,26-01-2025,2025-01-26,DC,Deep Cleaning,premium service,Premium,NORTH HQ,North Branch,MANCHESTER,Manchester,United Kingdom,275,275.0,10.0,,,,,,,
21,REC-00021,CUST-1020,branch_north.xlsx,branch,SAMUEL BLACKWELL,Samuel Blackwell,07461203124,07461203124,samuel.blackwell@examplemail.co,samuel.blackwell@examplemail.co.uk,1020,INV-1020,16 March 2025,2025-03-16,CCR,Ccr,Std,Standard,central office,Central Branch,bristol,Bristol,United Kingdom,£700,700.0,40.0,,,,,,,
22,REC-00022,CUST-1021,branch_north.xlsx,branch,phoebe huxley,Phoebe Huxley,00447396618390,07396618390,PHOEBE.HUXLEY@EXAMPLEMAIL.CO.UK,phoebe.huxley@examplemail.co.uk,INV-1021,INV-1021,04-04-2025,2025-04-04,Deep Cleaning Package,Deep Cleaning,prem,Premium,NORTH HQ,North Branch,Bham,Birmingham,United Kingdom,380.00,380.0,40.0,,,,,,,
23,REC-00023,CUST-1022,branch_north.xlsx,branch,jack sutton,Jack Sutton,00447790256940,07790256940,jack.sutton@examplemail.co.uk,jack.sutton@examplemail.co.uk,inv 1022,INV-1022,02-03-2025,2025-03-02,Op Check,Op Check,Standard,Standard,South,South Branch,Bristol City,Bristol,United Kingdom,£1100,1100.0,40.0,,,,,,,
24,REC-00024,CUST-1023,branch_north.xlsx,branch,HENRY TEMPLETON,Henry Templeton,00000000000,,henry.templeton@examplemail.co.uk,henry.templeton@examplemail.co.uk,INV 1023,INV-1023,20 February 2025,2025-02-20,premium consultation,Premium Consultation,P,Premium,North Branch,North Branch,BIRMINGHAM,Birmingham,United Kingdom,150.00,150.0,10.0,,,,,,,
25,REC-00025,CUST-1024,branch_north.xlsx,branch,Harry Blackwell,Harry Blackwell,07216396,,harry.blackwell@examplemail.co,harry.blackwell@examplemail.co.uk,INV 1024,INV-1024,01 April 2025,2025-04-01,Install Support,Installation Support,Basic,Standard,south,South Branch,Birmingham,Birmingham,United Kingdom,800,800.0,40.0,,,,,,,
26,REC-00026,CUST-1025,branch_north.xlsx,branch,Theodore Sterling,Theodore Sterling,07696776072,07696776072,theodore.sterling@@examplemail.co.uk,theodore.sterling@examplemail.co.uk,inv 1025,INV-1025,28 March 2025,2025-03-28,Priority Call,Priority Call,P,Premium,CENTRAL BRANCH,Central Branch,Leeds,Leeds,United Kingdom,175,175.0,10.0,,,,,,,
27,REC-00027,CUST-1026,branch_north.xlsx,branch,amelia bramwell,Amelia Bramwell,00447213321496,07213321496,AMELIA.BRAMWELL@EXAMPLEMAIL.CO.UK,amelia.bramwell@examplemail.co.uk,INV 1026,INV-1026,08 Feb 2025,2025-02-08,Op Check,Op Check,Std,Standard,south office,South Branch,bristol,Bristol,United Kingdom,£1000,1000.0,40.0,,,,,,,
28,REC-00028,CUST-1027,branch_north.xlsx,branch,Eleanor Pritchard,Eleanor Pritchard,07434961,,eleanor.pritchard@examplemail.co,eleanor.pritchard@examplemail.co.uk,1027,INV-1027,19 Feb 2025,2025-02-19,Prem Consult,Prem Consult,prem,Premium,North,North Branch,BIRMINGHAM,Birmingham,United Kingdom,675,675.0,30.0,,,,,,,
29,REC-00029,CUST-1028,branch_north.xlsx,branch,Theodore Redford,Theodore Redford,07575808,,theodore.redford@examplemail.co.uk,theodore.redford@examplemail.co.uk,1028,INV-1028,18/01/25,2025-01-18,Op Check,Op Check,STD,Standard,NORTH BRANCH,North Branch,Bham,Birmingham,United Kingdom,250,250.0,10.0,,,,,,,
30,REC-00030,CUST-1029,branch_north.xlsx,branch,florence collins,Florence Collins,07679153,,florence.collins@examplemail.co.uk,florence.collins@examplemail.co.uk,INV1029,INV-1029,26 Jan 2025,2025-01-26,Customer Care Review,Customer Care Review,STD,Standard,SOUTH,South Branch,Manchester,Manchester,United Kingdom,360.00,360.0,30.0,,,,,,,
31,REC-00031,CUST-1030,branch_north.xlsx,branch,rosie templeton,Rosie Templeton,07750572,07942764719,rosie.templeton@examplemail.co.uk,rosie.templeton@examplemail.co.uk,inv 1030,INV-1030,05/04/25,2025-04-05,Customer Care Review,Customer Care Review,Std,Standard,South,South Branch,manchester,Manchester,United Kingdom,600,600.0,30.0,,,,,,,phone updated from contact_updates
32,REC-00032,CUST-1031,branch_north.xlsx,branch,poppy mercer,Poppy Mercer,07443285,,poppy.mercer@examplemail.co.uk,poppy.mercer@examplemail.co.uk,INV1031,INV-1031,24 Mar 2025,2025-03-24,premium consultation,Premium Consultation,Premium,Premium,South Branch,South Branch,Leeds,Leeds,United Kingdom,£550,550.0,20.0,,,,,,,
33,REC-00033,CUST-1032,branch_north.xlsx,branch,Phoebe Hollis,Phoebe Hollis,00000000000,,phoebe.hollis@examplemail.co,phoebe.hollis@examplemail.co.uk,inv-1032,INV-1032,23 February 2025,2025-02-23,Premium Consultation,Premium Consultation,premium service,Premium,south,South Branch,birminham,Birmingham,United Kingdom,200.00,200.0,10.0,,,,,,,
34,REC-00034,CUST-1033,branch_north.xlsx,branch,ZARA CRAWFORD,Zara Crawford,00000000000,,zara.crawford@examplemail.co.uk,zara.crawford@examplemail.co.uk,inv-1033,INV-1033,05 Mar 2025,2025-03-05,on site setup,On Site Setup,Basic,Standard,south office,South Branch,LEEDS,Leeds,United Kingdom,£285,285.0,30.0,,,,,,,
35,REC-00035,CUST-1034,branch_north.xlsx,branch,Harry Sinclair,Harry Sinclair,07825 003 955,07825003955,harry.sinclair@examplemail.co,harry.sinclair@examplemail.co.uk,INV 1034,INV-1034,2025-02-18,2025-02-18,maintenance visit,Maintenance Visit,Standard,Standard,Central,Central Branch,BIRMINGHAM,Birmingham,United Kingdom,150.00,150.0,10.0,,,,,,,
36,REC-00036,CUST-1035,branch_north.xlsx,branch,Samuel Bramwell,Samuel Bramwell,00000000000,,samuel.bramwell@examplemail.co.uk,samuel.bramwell@examplemail.co.uk,inv-1035,INV-1035,04-04-2025,2025-04-04,Installation Support,Installation Support,STD,Standard,Central Hub,Central Branch,BIRMINGHAM,Birmingham,United Kingdom,190,190.0,20.0,,,,,,,
37,REC-00037,CUST-1036,branch_north.xlsx,branch,Freya Bramwell,Freya Bramwell,07786066,,freya.bramwell@@examplemail.co.uk,freya.bramwell@examplemail.co.uk,INV-1036,INV-1036,06 February 2025,2025-02-06,Priority Service Call,Priority Service Call,P,Premium,Central,Central Branch,LEEDS,Leeds,United Kingdom,£900,900.0,40.0,,,,,,,
38,REC-00038,CUST-1037,branch_north.xlsx,branch,George Sutton,George Sutton,07200 140 141,07200140141,george.sutton@examplemail.co.uk,george.sutton@examplemail.co.uk,inv 1037,INV-1037,2025-02-18,2025-02-18,Customer Care Review,Customer Care Review,Std,Standard,central office,Central Branch,BIRMINGHAM,Birmingham,United Kingdom,150,150.0,10.0,,,,,,,
39,REC-00039,CUST-1037,branch_north.xlsx,branch,GEORGE SUTTON,George Sutton,07200 140 141,07200140141,george.sutton@examplemail.co.uk,george.sutton@examplemail.co.uk,INV-1038,INV-1038,16/01/25,2025-01-16,installation support,Installation Support,Std,Standard,central office,Central Branch,BIRMINGHAM,Birmingham,United Kingdom,1000.00,1000.0,40.0,,,,,,,
40,REC-00040,CUST-1038,branch_north.xlsx,branch,luke marlowe,Luke Marlowe,07994 027 897,07994027897,LUKE.MARLOWE@EXAMPLEMAIL.CO.UK,luke.marlowe@examplemail.co.uk,1039,INV-1039,07 Mar 2025,2025-03-07,Installation Support,Installation Support,STD,Standard,South Branch,South Branch,BIRMINGHAM,Birmingham,United Kingdom,240.00,240.0,20.0,,,,,,,
41,REC-00041,CUST-1039,branch_north.xlsx,branch,ELEANOR HUXLEY,Eleanor Huxley,07378 304 807,07378304807,ELEANOR.HUXLEY@EXAMPLEMAIL.CO.UK,eleanor.huxley@examplemail.co.uk,inv 1040,INV-1040,24/01/25,2025-01-24,Refresh,Refresh,prem,Premium,South,South Branch,BRISTOL,Bristol,United Kingdom,285,285.0,30.0,,,,,,,
42,REC-00042,CUST-1040,branch_north.xlsx,branch,jack prescott,Jack Prescott,00000000000,,JACK.PRESCOTT@EXAMPLEMAIL.CO.UK,jack.prescott@examplemail.co.uk,INV1041,INV-1041,27 March 2025,2025-03-27,Store Refresh,Store Refresh,Premium,Premium,South,South Branch,Manchester,Manchester,United Kingdom,400,400.0,20.0,,,,,,,
43,REC-00043,CUST-1041,branch_north.xlsx,branch,Amelia Darlington,Amelia Darlington,07812308209,07812308209,amelia.darlington@examplemail.co.uk,amelia.darlington@examplemail.co.uk,INV-1042,INV-1042,11 February 2025,2025-02-11,inventory audit,Inventory Audit,Basic,Standard,CENTRAL BRANCH,Central Office,Leedz,Leeds,United Kingdom,95,95.0,10.0,,,,,,,
44,REC-00044,CUST-1042,branch_north.xlsx,branch,Max Whitmore,Max Whitmore,00447604011128,07604011128,max.whitmore@examplemail.co,max.whitmore@examplemail.co.uk,inv 1043,INV-1043,01/02/25,2025-02-01,Refresh,Refresh,P,Premium,NORTH HQ,North Branch,leeds,Leeds,United Kingdom,£450,450.0,20.0,,,,,,,
45,REC-00045,CUST-1023,branch_north.xlsx,branch,henry templeton,Henry Templeton,00000000000,,henry.templeton@examplemail.co.uk,henry.templeton@examplemail.co.uk,INV-1044,INV-1044,15/01/25,2025-01-15,store refresh,Store Refresh,prem,Premium,NORTH HQ,North Branch,Bham,Birmingham,United Kingdom,480.00,480.0,40.0,,,,,,,
46,REC-00046,CUST-1043,branch_north.xlsx,branch,phoebe darlington,Phoebe Darlington,07200 273 738,07200273738,PHOEBE.DARLINGTON@EXAMPLEMAIL.CO.UK,phoebe.darlington@examplemail.co.uk,inv 1045,INV-1045,05-03-2025,2025-03-05,installation support,Installation Support,STD,Standard,Central,Central Branch,Leedz,Leeds,United Kingdom,800,800.0,40.0,,,,,,,
47,REC-00047,CUST-1044,branch_north.xlsx,branch,sebastian langley,Sebastian Langley,07570406,,sebastian.langley@examplemail.co,sebastian.langley@examplemail.co.uk,inv-1046,INV-1046,12/01/25,2025-01-12,Store Refresh,Store Refresh,Premium,Premium,Central,Central Branch,Leedz,Leeds,United Kingdom,£900,900.0,40.0,,,,,,,
48,REC-00048,CUST-1045,branch_north.xlsx,branch,Eleanor Redford,Eleanor Redford,07637 500 247,07637500247,eleanor.redford@@examplemail.co.uk,eleanor.redford@examplemail.co.uk,INV 1047,INV-1047,2025-01-23,2025-01-23,store refresh,Store Refresh,P,Premium,south,North Branch,LEEDS,Leeds,United Kingdom,£480,480.0,40.0,,,,,,,
49,REC-00049,CUST-1046,branch_north.xlsx,branch,imogen winslow,Imogen Winslow,00000000000,,imogen.winslow@@examplemail.co.uk,imogen.winslow@examplemail.co.uk,INV 1048,INV-1048,22 Feb 2025,2025-02-22,maintenance visit,Maintenance Visit,Standard,Standard,North,North Branch,Bristol,Bristol,United Kingdom,240.00,240.0,20.0,,,,,,,
50,REC-00050,CUST-1047,branch_north.xlsx,branch,sebastian sinclair,Sebastian Sinclair,00447699226355,07699226355,sebastian.sinclair@@examplemail.co.uk,sebastian.sinclair@examplemail.co.uk,INV 1049,INV-1049,18-03-2025,2025-03-18,Prem Consult,Prem Consult,P,Premium,North,North Branch,birminham,Birmingham,United Kingdom,675,675.0,30.0,,,,,,,
51,REC-00051,CUST-1048,branch_north.xlsx,branch,Thomas Sinclair,Thomas Sinclair,07463527,,thomas.sinclair@examplemail.co,thomas.sinclair@examplemail.co.uk,1050,INV-1050,09 Feb 2025,2025-02-09,inventory audit,Inventory Audit,Basic,Standard,South Branch,South Branch,leeds,Leeds,United Kingdom,£525,525.0,30.0,,,,,,,
52,REC-00052,CUST-1049,branch_north.xlsx,branch,JACK BENNETT,Jack Bennett,+44 7903 132 646,07903132646,jack.bennett@examplemail.co.uk,jack.bennett@examplemail.co.uk,INV-1051,INV-1051,29-01-2025,2025-01-29,Install Support,Installation Support,Basic,Standard,Central Hub,Central Branch,birminham,Birmingham,United Kingdom,£1100,1100.0,40.0,,,,,,,
53,REC-00053,CUST-1050,branch_north.xlsx,branch,IVY BENNETT,Ivy Bennett,00000000000,,ivy.bennett@examplemail.co,ivy.bennett@examplemail.co.uk,1052,INV-1052,08-03-2025,2025-03-08,Installation Support,Installation Support,Basic,Standard,North Branch,North Branch,BRISTOL,Bristol,United Kingdom,£450,450.0,30.0,,,,,,,
54,REC-00054,CUST-1001,branch_north.xlsx,branch,Theodore Marlowe,Theodore Marlowe,00447599154414,07599154414,theodore.marlowe@@examplemail.co.uk,theodore.marlowe@examplemail.co.uk,inv 1053,INV-1053,11 March 2025,2025-03-11,Prem Consult,Prem Consult,prem,Premium,Central,Central Branch,bristol,Bristol,United Kingdom,285,285.0,30.0,,,,,,,
55,REC-00055,CUST-1031,branch_north.xlsx,branch,poppy mercer,Poppy Mercer,07443285,,poppy.mercer@examplemail.co.uk,poppy.mercer@examplemail.co.uk,inv 1054,INV-1054,19-01-2025,2025-01-19,Priority Service Call,Priority Service Call,Premium,Premium,South,South Branch,leeds,Leeds,United Kingdom,380,380.0,40.0,,,,,,,
56,REC-00056,CUST-1051,branch_north.xlsx,branch,HUGO WINSLOW,Hugo Winslow,00000000000,,HUGO.WINSLOW@EXAMPLEMAIL.CO.UK,hugo.winslow@examplemail.co.uk,INV-1055,INV-1055,15-02-2025,2025-02-15,customer care review,Customer Care Review,STD,Standard,NORTH BRANCH,North Branch,manchester,Manchester,United Kingdom,"1,100",1.1,40.0,,,,,,,
57,REC-00057,CUST-1052,branch_north.xlsx,branch,Daniel Bennett,Daniel Bennett,+44 7437 710 224,07437710224,DANIEL.BENNETT@EXAMPLEMAIL.CO.UK,daniel.bennett@examplemail.co.uk,inv-1056,INV-1056,15/01/25,2025-01-15,priority service call,Priority Service Call,premium service,Premium,South Branch,South Branch,BIRMINGHAM,Birmingham,United Kingdom,825,825.0,30.0,,,,,,,
58,REC-00058,CUST-1053,branch_north.xlsx,branch,Alfie Fletcher,Alfie Fletcher,07612957813,07612957813,alfie.fletcher@examplemail.co.uk,alfie.fletcher@examplemail.co.uk,1057,INV-1057,17/01/25,2025-01-17,Inventory Audit,Inventory Audit,Basic,Standard,North Branch,North Branch,Leeds,Leeds,United Kingdom,£360,360.0,30.0,,,,,,,
59,REC-00059,CUST-1054,branch_north.xlsx,branch,Hugo Hollis,Hugo Hollis,07262 915 636,07262915636,hugo.hollis@@examplemail.co.uk,hugo.hollis@examplemail.co.uk,INV1058,INV-1058,15 Jan 2025,2025-01-15,Inv Audit,Inv Audit,STD,Standard,NORTH BRANCH,North Branch,Bham,Birmingham,United Kingdom,600.00,600.0,40.0,,,,,,,
60,REC-00060,CUST-1055,branch_north.xlsx,branch,George Chadwick,George Chadwick,07926561,,george.chadwick@examplemail.co.uk,george.chadwick@examplemail.co.uk,INV 1059,INV-1059,15 February 2025,2025-02-15,CCR,Ccr,Basic,Standard,SOUTH,South Branch,Bristol City,Bristol,United Kingdom,285.00,285.0,30.0,,,,,,,
61,REC-00061,CUST-1056,branch_north.xlsx,branch,Oscar Blackwell,Oscar Blackwell,00447932734539,07932734539,oscar.blackwell@examplemail.co.uk,oscar.blackwell@examplemail.co.uk,INV 1060,INV-1060,18 Jan 2025,2025-01-18,CCR,Ccr,Std,Standard,south,South Branch,manchester,Manchester,United Kingdom,800.00,800.0,40.0,,,,,,,
62,REC-00062,CUST-1057,branch_north.xlsx,branch,Oscar Bramwell,Oscar Bramwell,07542697755,07542697755,oscar.bramwell@examplemail.co.uk,oscar.bramwell@examplemail.co.uk,inv-1061,INV-1061,29-01-2025,2025-01-29,Installation Support,Installation Support,Std,Standard,NORTH HQ,North Branch,Mcr,Manchester,United Kingdom,450,450.0,20.0,,,,,,,
63,REC-00063,CUST-1058,branch_north.xlsx,branch,JACK FAIRCHILD,Jack Fairchild,07807435606,07807435606,JACK.FAIRCHILD@EXAMPLEMAIL.CO.UK,jack.fairchild@examplemail.co.uk,1062,INV-1062,2025-01-26,2025-01-26,Refresh,Refresh,P,Premium,South,South Branch,MANCHESTER,Manchester,United Kingdom,0,0.0,30.0,,,,,,,
64,REC-00064,CUST-1059,branch_north.xlsx,branch,Luke Waverley,Luke Waverley,07875 718 152,07875718152,luke.waverley@examplemail.co,luke.waverley@examplemail.co.uk,1063,INV-1063,26-01-2025,2025-01-26,CCR,Ccr,STD,Standard,South Branch,South Branch,Birmingham,Birmingham,United Kingdom,900,900.0,40.0,,,,,,,
65,REC-00065,CUST-1060,branch_north.xlsx,branch,Theodore Ainsworth,Theodore Ainsworth,00447849621470,07849621470,THEODORE.AINSWORTH@EXAMPLEMAIL.CO.UK,theodore.ainsworth@examplemail.co.uk,1064,INV-1064,18 February 2025,2025-02-18,Customer Care Review,Customer Care Review,STD,Standard,north,North Branch,Manchester,Manchester,United Kingdom,825,825.0,30.0,,,,,,,
66,REC-00066,CUST-1061,branch_north.xlsx,branch,Oscar Winslow,Oscar Winslow,00000000000,,OSCAR.WINSLOW@EXAMPLEMAIL.CO.UK,oscar.winslow@examplemail.co.uk,1065,INV-1065,27-01-2025,2025-01-27,Setup,Setup,STD,Standard,SOUTH,South Branch,MANCHESTER,Manchester,United Kingdom,360,360.0,30.0,,,,,,,
67,REC-00067,CUST-1054,branch_north.xlsx,branch,HUGO HOLLIS,Hugo Hollis,07262 915 636,07262915636,hugo.hollis@@examplemail.co.uk,hugo.hollis@examplemail.co.uk,inv-1066,INV-1066,18-03-2025,2025-03-18,Priority Call,Priority Call,P,Premium,NORTH BRANCH,North Branch,Bham,Birmingham,United Kingdom,500.00,500.0,20.0,,,,,,,
68,REC-00068,CUST-1028,branch_north.xlsx,branch,THEODORE REDFORD,Theodore Redford,07575808,,theodore.redford@examplemail.co.uk,theodore.redford@examplemail.co.uk,inv-1067,INV-1067,02 February 2025,2025-02-02,Inv Audit,Inv Audit,Std,Standard,NORTH BRANCH,North Branch,Bham,Birmingham,United Kingdom,380.00,380.0,40.0,,,,,,,
69,REC-00069,CUST-1030,branch_north.xlsx,branch,Rosie Templeton,Rosie Templeton,07750572,07942764719,rosie.templeton@examplemail.co.uk,rosie.templeton@examplemail.co.uk,INV1068,INV-1068,09 Feb 2025,2025-02-09,CCR,Ccr,Standard,Standard,South,South Branch,manchester,Manchester,United Kingdom,700,700.0,40.0,,,,,,,phone updated from contact_updates
70,REC-00070,CUST-1062,branch_north.xlsx,branch,Zara Pritchard,Zara Pritchard,00000000000,,ZARA.PRITCHARD@EXAMPLEMAIL.CO.UK,zara.pritchard@examplemail.co.uk,INV 1069,INV-1069,18-02-2025,2025-02-18,On Site Setup,On Site Setup,Standard,Standard,North Branch,North Branch,Mcr,Manchester,United Kingdom,825.00,825.0,30.0,,,,,,,
71,REC-00071,CUST-1063,branch_north.xlsx,branch,zara sutton,Zara Sutton,07581223755,07581223755,zara.sutton@examplemail.co.uk,zara.sutton@examplemail.co.uk,inv-1070,INV-1070,27 Feb 2025,2025-02-27,Maint Visit,Maintenance Visit,Std,Standard,central office,Central Office,Bristol,Bristol,United Kingdom,£350,350.0,20.0,,,,,,,
72,REC-00072,CUST-1064,branch_north.xlsx,branch,samuel whitmore,Samuel Whitmore,00000000000,,SAMUEL.WHITMORE@EXAMPLEMAIL.CO.UK,samuel.whitmore@examplemail.co.uk,1071,INV-1071,11/02/25,2025-02-11,Inv Audit,Inv Audit,STD,Standard,central office,Central Branch,MANCHESTER,Manchester,United Kingdom,360,360.0,30.0,,,,,,,
